ID;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20
1;2;0;0;0;1;10;4;7;6;5;5;7;7;5;4;5;5;8;8;10
2;3;0;0;0;1;10;3;7;7;3;8;8;5;6;4;4;4;8;9;10
3;3;0;1;0;1;9;3;6;6;5;7;8;5;6;2;5;4;8;9;8
4;1;1;1;1;0;7;3;4;4;5;5;5;9;7;5;4;4;1;4;4
5;2;0;0;0;1;9;3;6;5;2;6;7;7;6;2;5;4;8;10;7
6;1;0;1;1;1;8;3;2;4;4;4;5;9;5;10;4;5;2;5;5
7;2;0;1;1;0;6;3;2;5;5;4;4;7;5;5;4;6;1;3;5
8;2;1;1;1;1;5;4;8;7;4;6;9;9;6;8;4;6;9;5;5
9;1;0;0;0;1;3;5;8;6;5;6;8;8;5;7;4;6;9;6;6
10;2;0;1;1;1;8;3;1;5;3;7;6;7;6;9;4;4;2;7;6
11;1;1;1;1;0;7;5;3;4;4;4;4;8;6;4;3;5;1;3;4
12;1;1;0;0;1;10;6;6;7;5;7;6;8;7;3;5;5;8;10;8
13;3;0;0;0;1;9;4;6;6;2;8;6;7;7;3;5;3;9;8;10
14;2;0;1;1;1;4;5;9;7;5;7;9;9;6;7;5;6;8;5;5
15;3;0;0;0;1;9;3;7;7;3;8;7;5;6;2;4;4;9;9;9
16;2;1;0;0;1;2;4;8;6;3;6;9;6;7;7;4;6;9;4;5
17;2;0;0;1;1;5;4;7;7;4;6;9;8;6;8;6;6;8;5;5
18;2;1;1;0;1;2;3;8;6;4;6;8;9;5;7;5;6;9;5;4
19;2;0;0;1;0;9;5;1;6;5;5;5;8;6;9;5;6;2;7;5
20;1;1;0;1;0;9;4;4;5;4;4;1;8;7;5;3;5;4;5;4
21;3;0;1;0;1;10;6;7;6;5;8;8;5;6;2;4;3;8;10;10
22;2;0;0;0;1;9;4;7;5;4;7;8;4;7;3;5;3;10;9;9
23;3;0;1;0;1;10;2;8;7;2;7;6;6;6;3;7;4;10;9;9
24;1;0;0;1;0;6;4;2;5;4;5;3;8;7;6;5;5;2;2;5
25;2;0;1;1;0;8;4;2;6;4;4;3;7;6;5;6;7;1;4;3
26;3;0;0;0;0;10;3;7;6;4;8;5;5;7;5;5;4;10;8;9
27;1;0;0;1;1;9;3;1;6;3;5;6;9;7;10;4;5;3;5;5
28;3;0;0;0;1;9;3;6;6;2;8;7;5;6;2;6;4;8;8;9
29;2;0;1;1;1;8;4;2;4;5;4;5;8;5;10;5;6;2;5;6
30;1;1;1;1;0;8;3;1;5;2;5;2;7;7;4;3;4;1;3;2
31;1;1;1;1;0;7;4;1;5;5;5;1;9;6;5;4;5;1;2;4
32;2;0;1;1;1;8;3;8;6;6;5;7;9;6;4;5;7;9;7;8
33;1;0;0;1;1;3;4;8;4;3;5;9;8;6;8;3;4;8;4;5
34;1;0;0;0;1;9;3;8;4;4;6;8;6;6;5;3;3;7;9;10
35;2;0;0;0;1;9;3;6;5;4;6;5;7;6;3;4;4;8;9;8
36;3;0;1;0;1;10;4;6;7;3;8;6;8;6;3;5;5;8;9;10
37;1;0;1;1;0;8;4;1;6;6;5;5;9;5;9;5;7;1;7;7
38;1;0;1;1;1;6;5;4;5;5;4;6;8;5;7;5;5;4;6;6
39;2;1;1;1;0;8;3;3;6;3;5;3;9;4;6;5;6;1;2;4
40;2;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41;3;0;1;0;1;10;5;8;7;6;7;7;7;5;3;5;5;9;9;8
42;2;1;0;0;0;2;5;7;7;4;5;10;6;7;7;5;6;9;5;4
43;3;1;0;0;0;8;3;8;7;4;8;7;5;5;4;4;4;10;8;9
44;2;0;1;1;1;3;4;9;6;6;6;8;8;6;8;5;6;8;7;6
45;3;0;0;0;1;10;4;7;6;3;5;7;4;7;4;5;4;10;10;9
46;2;1;0;0;1;4;4;8;8;6;6;9;8;7;7;7;7;9;6;5
47;3;0;0;1;1;10;4;1;6;4;7;5;7;6;10;5;3;1;8;7
48;3;0;0;0;1;8;4;6;6;4;7;8;5;5;3;4;4;8;10;8
49;1;0;1;1;0;7;4;4;4;3;5;3;7;6;6;4;4;1;2;4
50;3;0;0;0;0;9;3;6;7;3;8;8;5;5;5;5;4;9;8;7
51;3;0;0;1;1;9;3;1;6;3;7;6;6;6;10;5;5;2;7;6
52;1;1;1;0;1;7;3;3;4;3;6;3;5;6;4;3;3;1;3;2
53;2;0;0;1;1;9;3;6;6;3;5;7;9;5;3;5;7;9;8;8
54;3;0;0;0;1;9;4;7;6;4;6;5;7;7;2;4;3;9;8;8
55;2;0;0;1;1;4;5;10;8;5;7;9;10;6;9;6;7;9;6;5
56;3;0;0;0;1;8;4;8;6;6;7;4;4;7;3;5;4;7;10;8
57;3;0;0;0;1;10;4;8;4;4;5;6;4;7;2;4;4;8;9;8
58;3;0;0;1;1;10;3;7;7;3;6;8;5;6;3;6;5;9;10;9
59;3;0;0;0;0;9;3;8;6;3;8;7;5;7;4;5;4;7;9;7
60;2;0;1;0;1;10;4;7;5;5;5;7;7;5;3;3;5;8;10;8
61;1;0;0;1;1;10;4;1;5;4;5;5;6;5;9;4;4;3;6;6
62;1;0;1;1;0;8;2;3;5;2;5;2;6;6;5;3;3;2;3;6
63;1;1;1;1;0;7;4;3;4;5;5;3;7;7;6;4;4;1;3;3
64;2;1;1;0;1;3;4;10;7;5;6;9;8;5;8;5;7;10;7;4
65;2;1;0;1;0;2;4;8;6;3;6;9;6;8;7;5;6;9;6;5
66;1;1;1;1;0;9;4;2;4;3;4;4;8;5;5;4;5;1;5;3
67;2;0;1;1;1;7;4;5;5;4;4;6;7;5;9;5;7;2;7;5
68;3;0;0;0;0;9;5;6;6;6;5;4;8;7;4;5;6;9;8;8
69;1;1;0;0;1;8;3;3;4;5;6;2;5;5;6;3;3;2;3;3
70;2;0;1;1;0;9;4;1;7;7;6;5;9;5;8;5;6;2;8;4
71;3;0;0;0;1;10;4;8;5;6;7;8;7;7;5;4;3;9;9;9
72;2;0;1;0;1;9;4;6;6;5;5;7;7;6;4;4;5;9;10;8
73;3;0;0;0;1;10;3;7;5;5;6;5;5;7;3;3;4;9;10;8
74;1;0;0;0;1;8;4;8;5;5;5;7;7;8;4;5;6;10;10;9
75;2;1;0;0;1;10;4;7;6;5;7;6;9;7;5;4;5;8;8;9
76;3;0;0;0;1;9;4;6;8;6;8;6;5;7;4;5;4;6;9;10
77;1;1;1;1;0;8;3;1;4;4;5;3;8;6;5;3;3;1;2;2
78;3;0;0;0;0;10;3;7;5;4;6;6;5;6;3;3;4;7;10;10
79;3;0;0;0;1;9;3;6;5;2;7;8;7;6;2;4;4;8;10;10
80;2;0;0;0;1;9;3;2;4;3;6;5;6;6;4;3;3;1;1;3
81;1;1;0;1;0;6;3;1;4;2;3;4;8;7;6;2;4;1;1;2
82;2;0;0;0;1;9;3;7;7;2;7;8;6;7;4;5;4;7;10;8
83;1;1;1;1;0;8;4;1;5;4;4;4;8;5;5;3;5;1;4;5
84;1;0;1;1;1;8;4;2;3;4;4;6;8;4;9;2;5;2;5;5
85;2;0;0;0;1;9;3;8;7;4;7;7;6;7;3;5;4;8;8;8
86;2;1;0;0;1;10;4;6;5;4;6;8;8;7;4;5;4;8;8;9
87;2;1;0;0;1;1;6;9;7;6;6;9;6;7;8;6;7;10;6;4
88;3;0;0;0;1;10;4;7;4;4;6;6;7;8;5;4;3;9;10;8
89;1;1;0;1;0;7;4;2;3;2;3;3;10;6;3;2;4;1;4;4
90;3;0;1;1;1;8;4;1;5;4;8;5;7;6;9;4;3;1;7;4
91;3;0;1;1;1;10;4;6;8;5;8;7;5;6;5;5;4;8;10;8
92;3;1;1;0;1;9;4;7;5;5;6;8;7;5;5;4;3;7;8;7
93;1;0;0;0;1;9;5;6;5;2;6;8;7;6;4;5;4;7;10;9
94;1;0;1;1;0;9;3;2;5;4;4;5;7;5;10;4;6;2;6;3
