ID;LatePayment;Age;Education;Income;Prop_Income
1;0;45;1;28,3;1
2;0;30;1;20,1;1
3;0;44;1;36;1
4;0;47;1;184,7;1
5;0;52;1;59,4;1
6;0;28;1;25,3;1
7;0;38;2;47,6;1
8;0;44;1;26,8;1
9;0;49;3;157;1
10;0;29;1;29,6;1
11;0;32;1;15,4;1
12;0;26;2;24,7;1
13;0;48;1;38,6;1
14;0;31;1;26,6;1
15;0;29;1;31,5;1
16;1;34;3;17,7;1
17;0;32;3;37,1;1
18;0;44;2;38,2;1
19;0;30;1;17,1;1
20;1;31;1;25,4;1
21;0;44;2;57,6;1
22;0;44;2;172,8;1
23;0;45;2;63,3;1
24;0;36;1;53;1
25;0;39;1;58,7;1
26;0;39;1;101,5;1
27;0;40;2;41,3;1
28;0;32;2;33,7;1
29;0;26;2;20;1
30;1;27;1;30,8;1
31;1;54;1;21,4;1
32;1;28;3;21,6;1
33;0;42;1;68,4;1
34;0;43;2;69,9;1
35;0;28;1;30,3;1
36;0;37;2;99,1;1
37;0;27;1;41,7;1
38;0;35;1;29,1;1
39;0;37;1;50,3;1
40;0;32;3;35,1;1
41;0;33;2;63,2;1
42;0;35;2;53,6;1
43;0;23;1;16,1;1
44;0;33;1;18,9;1
45;0;21;2;16,6;1
46;0;28;1;18,8;1
47;0;34;3;45;1
48;0;42;1;33,3;1
49;0;30;2;30;1
50;0;34;3;44,7;1
51;0;32;2;26,7;1
52;0;39;1;47,6;1
53;0;41;2;50,1;1
54;0;35;2;16,9;1
55;0;26;1;21,9;1
56;0;34;3;31,2;1
57;0;54;1;209,7;1
58;0;38;1;23,6;1
59;0;44;1;17,5;1
60;0;34;1;43;1
61;0;37;2;53,6;1
62;0;45;2;57,7;1
63;0;21;2;17,8;1
64;0;42;2;61,3;1
65;0;29;2;22,2;1
66;0;25;1;24,6;1
67;0;35;2;56,3;1
68;0;43;2;106,1;1
69;0;46;1;135,8;1
70;0;28;1;20,4;1
71;0;37;1;46,7;1
72;0;42;2;31,3;1
73;0;44;3;180,1;1
74;0;32;1;29,3;1
75;0;46;3;54,9;1
76;0;53;2;138,9;1
77;0;29;1;22,9;1,01
78;0;31;1;30;1,02
79;0;34;1;32,6;1,03
80;0;30;1;14,9;1,04
81;0;24;1;23,9;1,05
82;0;26;2;17,6;1,05
83;0;41;2;35,5;1,05
84;0;39;2;47,8;1,06
85;0;37;1;38,4;1,07
86;0;22;2;16,1;1,08
87;0;25;1;17,3;1,08
88;0;30;1;18,9;1,08
89;0;37;1;40,9;1,09
90;0;37;2;50,2;1,13
91;0;50;2;152,6;1,13
92;0;32;1;19,5;1,14
93;0;38;2;61,7;1,14
94;0;57;1;55,4;1,15
95;0;37;2;27;1,16
96;0;38;1;25,9;1,16
97;0;41;1;39,4;1,17
98;0;55;1;141,8;1,17
99;0;42;2;82;1,18
100;0;35;2;36,5;1,19
101;0;32;2;33,2;1,2
102;0;43;1;44,2;1,2
103;0;28;2;18,3;1,21
104;0;31;2;54,9;1,21
105;0;44;1;69;1,21
106;0;24;2;28,2;1,23
107;0;33;2;18,9;1,23
108;0;49;1;31,7;1,23
109;0;26;1;19,8;1,24
110;0;30;1;26,5;1,24
111;0;33;1;61,1;1,24
112;0;41;1;22,1;1,24
113;0;42;2;100;1,24
114;0;44;1;96,3;1,24
115;1;28;2;38,7;1,25
116;0;46;2;99,3;1,25
117;0;25;1;34,7;1,26
118;0;38;1;22,4;1,26
119;0;41;2;83,8;1,26
120;0;43;2;39,1;1,26
121;0;44;1;85,7;1,26
122;0;28;1;25,8;1,27
123;0;33;2;45,5;1,27
124;0;26;1;20,8;1,28
125;0;28;1;38,4;1,28
126;0;32;2;23,9;1,28
127;1;47;2;32,8;1,28
128;0;24;2;23,9;1,29
129;0;27;1;22,9;1,29
130;0;35;1;37,1;1,29
131;0;41;1;48,9;1,3
132;0;30;1;40,9;1,31
133;0;27;1;20,7;1,32
134;0;29;2;24,8;1,32
135;0;38;1;41,3;1,32
136;0;45;2;54,7;1,32
137;0;23;2;21,4;1,33
138;0;31;1;20,3;1,33
139;0;33;2;27;1,33
140;0;24;1;15,7;1,34
141;0;33;2;37,4;1,34
142;0;37;1;28,7;1,34
143;0;38;2;68,4;1,34
144;0;27;1;34,1;1,35
145;0;42;2;78,6;1,35
146;1;44;2;38,6;1,35
147;0;50;1;96,2;1,35
148;0;34;1;25;1,37
149;0;37;1;26,8;1,37
150;0;38;2;36,3;1,37
151;0;32;1;20,7;1,38
152;0;39;3;36,6;1,38
153;0;47;2;89,8;1,39
154;0;37;1;50,3;1,4
155;0;39;1;45,2;1,4
156;0;37;2;69,8;1,41
157;0;31;1;35;1,42
158;0;37;1;29,5;1,42
159;0;24;2;25,5;1,43
160;0;38;1;75,4;1,43
161;0;32;3;37,3;1,44
162;0;39;1;27,3;1,46
163;0;36;1;76,4;1,47
164;0;48;2;27,9;1,47
